Model Number,Transformation,Proportion,K,Time Limit,Optimizer Distance,Model,WCSS,WCSS Raw,Silhouette,Silhouette Raw
1,normalized,0.10,3,30,manhattan,Base,6950.700,117322.552,0.529,0.391
2,normalized,0.10,3,30,manhattan,Optimal without Warm Start,7198.359,114974.313,0.571,0.513
3,normalized,0.10,3,30,manhattan,Optimal with Warm Start,6729.011,116123.921,0.550,0.408
4,normalized,0.10,3,30,euclidean,Base,1062.597,55619.364,0.529,0.391
5,normalized,0.10,3,30,euclidean,Optimal without Warm Start,1535.922,55981.528,0.350,0.325
6,normalized,0.10,3,30,euclidean,Optimal with Warm Start,1062.597,55619.364,0.529,0.391
7,normalized,0.10,3,90,manhattan,Base,6950.700,117322.552,0.529,0.391
8,normalized,0.10,3,90,manhattan,Optimal without Warm Start,6592.794,115778.594,0.596,0.537
9,normalized,0.10,3,90,manhattan,Optimal with Warm Start,6840.124,116023.144,0.546,0.403
10,normalized,0.10,3,90,euclidean,Base,1062.597,55619.364,0.529,0.391
11,normalized,0.10,3,90,euclidean,Optimal without Warm Start,1535.922,55981.528,0.350,0.325
12,normalized,0.10,3,90,euclidean,Optimal with Warm Start,1062.597,55619.364,0.529,0.391
13,normalized,0.10,3,180,manhattan,Base,6950.700,117322.552,0.529,0.391
14,normalized,0.10,3,180,manhattan,Optimal without Warm Start,6592.794,115778.594,0.596,0.537
15,normalized,0.10,3,180,manhattan,Optimal with Warm Start,6818.316,117344.539,0.549,0.410
16,normalized,0.10,3,180,euclidean,Base,1062.597,55619.364,0.529,0.391
17,normalized,0.10,3,180,euclidean,Optimal without Warm Start,1491.301,55950.147,0.329,0.306
18,normalized,0.10,3,180,euclidean,Optimal with Warm Start,1062.597,55619.364,0.529,0.391
19,normalized,0.10,4,30,manhattan,Base,4898.682,119530.405,0.453,0.251
20,normalized,0.10,4,30,manhattan,Optimal without Warm Start,9915.315,96148.659,0.451,0.327
21,normalized,0.10,4,30,manhattan,Optimal with Warm Start,4910.096,117120.589,0.443,0.244
22,normalized,0.10,4,30,euclidean,Base,788.424,55531.610,0.453,0.251
23,normalized,0.10,4,30,euclidean,Optimal without Warm Start,1398.837,56107.298,0.280,0.164
24,normalized,0.10,4,30,euclidean,Optimal with Warm Start,788.424,55531.610,0.453,0.251
25,normalized,0.10,4,90,manhattan,Base,4898.682,119530.405,0.453,0.251
26,normalized,0.10,4,90,manhattan,Optimal without Warm Start,5882.663,112158.371,0.432,0.286
27,normalized,0.10,4,90,manhattan,Optimal with Warm Start,4916.378,117438.527,0.442,0.238
28,normalized,0.10,4,90,euclidean,Base,788.424,55531.610,0.453,0.251
29,normalized,0.10,4,90,euclidean,Optimal without Warm Start,1235.780,56184.728,0.306,0.177
30,normalized,0.10,4,90,euclidean,Optimal with Warm Start,788.424,55531.610,0.453,0.251
31,normalized,0.10,4,180,manhattan,Base,4898.682,119530.405,0.453,0.251
32,normalized,0.10,4,180,manhattan,Optimal without Warm Start,5127.291,113670.356,0.437,0.268
33,normalized,0.10,4,180,manhattan,Optimal with Warm Start,4918.549,117414.500,0.442,0.238
34,normalized,0.10,4,180,euclidean,Base,788.424,55531.610,0.453,0.251
35,normalized,0.10,4,180,euclidean,Optimal without Warm Start,1206.412,56164.405,0.307,0.179
36,normalized,0.10,4,180,euclidean,Optimal with Warm Start,788.424,55531.610,0.453,0.251
37,normalized,0.10,5,30,manhattan,Base,4441.819,118966.223,0.405,0.225
38,normalized,0.10,5,30,manhattan,Optimal without Warm Start,15784.408,132702.459,0.358,0.234
39,normalized,0.10,5,30,manhattan,Optimal with Warm Start,4554.882,116846.997,0.391,0.205
40,normalized,0.10,5,30,euclidean,Base,704.654,55273.121,0.405,0.225
41,normalized,0.10,5,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
42,normalized,0.10,5,30,euclidean,Optimal with Warm Start,704.654,55273.121,0.405,0.225
43,normalized,0.10,5,90,manhattan,Base,4441.819,118966.223,0.405,0.225
44,normalized,0.10,5,90,manhattan,Optimal without Warm Start,6422.003,114199.158,0.331,0.230
45,normalized,0.10,5,90,manhattan,Optimal with Warm Start,4398.797,119265.298,0.353,0.127
46,normalized,0.10,5,90,euclidean,Base,704.654,55273.121,0.405,0.225
47,normalized,0.10,5,90,euclidean,Optimal without Warm Start,1102.832,55323.541,0.239,0.112
48,normalized,0.10,5,90,euclidean,Optimal with Warm Start,704.654,55273.121,0.405,0.225
49,normalized,0.10,5,180,manhattan,Base,4441.819,118966.223,0.405,0.225
50,normalized,0.10,5,180,manhattan,Optimal without Warm Start,5505.564,113275.082,0.349,0.211
51,normalized,0.10,5,180,manhattan,Optimal with Warm Start,4250.877,119409.983,0.353,0.117
52,normalized,0.10,5,180,euclidean,Base,704.654,55273.121,0.405,0.225
53,normalized,0.10,5,180,euclidean,Optimal without Warm Start,1082.097,55223.437,0.259,0.126
54,normalized,0.10,5,180,euclidean,Optimal with Warm Start,704.654,55273.121,0.405,0.225
55,normalized,0.25,3,30,manhattan,Base,16698.418,293846.848,0.563,0.405
56,normalized,0.25,3,30,manhattan,Optimal without Warm Start,63124.686,258054.769,0.311,0.330
57,normalized,0.25,3,30,manhattan,Optimal with Warm Start,16603.930,291502.287,0.564,0.406
58,normalized,0.25,3,30,euclidean,Base,2733.751,135633.343,0.563,0.405
59,normalized,0.25,3,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
60,normalized,0.25,3,30,euclidean,Optimal with Warm Start,2733.751,135633.343,0.563,0.405
61,normalized,0.25,3,90,manhattan,Base,16698.418,293846.848,0.563,0.405
62,normalized,0.25,3,90,manhattan,Optimal without Warm Start,42523.668,267131.940,0.139,0.162
63,normalized,0.25,3,90,manhattan,Optimal with Warm Start,16295.285,292158.406,0.573,0.413
64,normalized,0.25,3,90,euclidean,Base,2733.751,135633.343,0.563,0.405
65,normalized,0.25,3,90,euclidean,Optimal without Warm Start,6715.475,136342.249,0.123,0.093
66,normalized,0.25,3,90,euclidean,Optimal with Warm Start,2733.751,135633.343,0.563,0.405
67,normalized,0.25,3,180,manhattan,Base,16698.418,293846.848,0.563,0.405
