DatasetName,proportion,k,time_limit,distance,case,WCSS,WCSS_RAW,Silhouette,Silhouette_RAW
normalized,0.1,3,30,manhattan,Base,7540.807311447068,123611.74160982962,0.5043607206911657,0.36569623332911905
normalized,0.1,3,30,manhattan,Optimal without Warm Start,18304.790592447156,101669.13081232723,0.6016964008263668,0.5992683273334504
normalized,0.1,3,30,manhattan,Optimal with Warm Start,8103.3472745174495,116234.11106878851,0.6688127490366582,0.5217540092525638
normalized,0.1,3,30,euclidean,Base,1227.8958878427104,57092.20110204543,0.5043607206911657,0.36569623332911905
normalized,0.1,3,30,euclidean,Optimal without Warm Start,1880.9353338983628,54673.77521795,0.5202955945716797,0.4558484193258764
normalized,0.1,3,30,euclidean,Optimal with Warm Start,1311.9081337460416,54667.84526866223,0.6716826996042604,0.5535640155616268
normalized,0.1,3,90,manhattan,Base,7540.807311447068,123611.74160982962,0.5043607206911657,0.36569623332911905
normalized,0.1,3,90,manhattan,Optimal without Warm Start,7718.652022830344,114654.89877776179,0.5140128921982187,0.3688906542421528
normalized,0.1,3,90,manhattan,Optimal with Warm Start,7388.734782906487,115948.87671186496,0.5900959830368812,0.4381614432917081
normalized,0.1,3,90,euclidean,Base,1227.8958878427104,57092.20110204543,0.5043607206911657,0.36569623332911905
normalized,0.1,3,90,euclidean,Optimal without Warm Start,1403.1577425002065,55846.78624145959,0.5062747544501209,0.3731363598950432
normalized,0.1,3,90,euclidean,Optimal with Warm Start,1311.9081337460416,54667.84526866223,0.6716826996042604,0.5535640155616268
normalized,0.1,3,180,manhattan,Base,7540.807311447068,123611.74160982962,0.5043607206911657,0.36569623332911905
normalized,0.1,3,180,manhattan,Optimal without Warm Start,7406.804318014159,119505.88025461437,0.5140905585856766,0.3739824910965801
normalized,0.1,3,180,manhattan,Optimal with Warm Start,7195.041610919094,126596.36681212907,0.5755799450215761,0.4283030487655347
normalized,0.1,3,180,euclidean,Base,1227.8958878427104,57092.20110204543,0.5043607206911657,0.36569623332911905
normalized,0.1,3,180,euclidean,Optimal without Warm Start,1248.4967688073923,57669.82387064141,0.5035559341717896,0.3742062616025184
normalized,0.1,3,180,euclidean,Optimal with Warm Start,1311.9081337460411,54667.8452686621,0.6716826996042604,0.5535640155616268
normalized,0.1,4,30,manhattan,Base,5389.912152493944,121693.77833967749,0.453332853037567,0.26563679366153164
normalized,0.1,4,30,manhattan,Optimal without Warm Start,6049.675745698619,117935.42534275806,0.4775005747827484,0.3773178258153544
normalized,0.1,4,30,manhattan,Optimal with Warm Start,5283.636952263948,116456.39114683877,0.5571984701026022,0.41080329494872636
normalized,0.1,4,30,euclidean,Base,947.0758191274662,57179.08231760052,0.453332853037567,0.26563679366153164
normalized,0.1,4,30,euclidean,Optimal without Warm Start,1777.140235396899,54779.92018000508,0.4060667362674469,0.3203102201201995
normalized,0.1,4,30,euclidean,Optimal with Warm Start,962.9457109593106,55111.49890289384,0.5540668287233649,0.4371932005851675
normalized,0.1,4,90,manhattan,Base,5389.912152493944,121693.77833967749,0.453332853037567,0.26563679366153164
normalized,0.1,4,90,manhattan,Optimal without Warm Start,5707.174591797814,115996.1694529122,0.5498926470244677,0.44226840078095336
normalized,0.1,4,90,manhattan,Optimal with Warm Start,5256.705935189702,117305.35841417036,0.5564261541111303,0.40854736541305825
normalized,0.1,4,90,euclidean,Base,947.0758191274662,57179.08231760052,0.453332853037567,0.26563679366153164
normalized,0.1,4,90,euclidean,Optimal without Warm Start,1596.464089926215,56877.65374103295,0.2910628658134047,0.2387836453922963
normalized,0.1,4,90,euclidean,Optimal with Warm Start,962.9457109593106,55111.49890289384,0.5540668287233649,0.4371932005851675
normalized,0.1,4,180,manhattan,Base,5389.912152493944,121693.77833967749,0.453332853037567,0.26563679366153164
normalized,0.1,4,180,manhattan,Optimal without Warm Start,5707.174591797814,115996.1694529122,0.5498926470244677,0.44226840078095336
normalized,0.1,4,180,manhattan,Optimal with Warm Start,5252.212225473571,117205.18437828007,0.5579092368389347,0.40844715798169223
normalized,0.1,4,180,euclidean,Base,947.0758191274662,57179.08231760052,0.453332853037567,0.26563679366153164
normalized,0.1,4,180,euclidean,Optimal without Warm Start,980.9921000237728,55348.1924539471,0.4349601290018082,0.27121757365231053
normalized,0.1,4,180,euclidean,Optimal with Warm Start,962.9457109593106,55111.49890289384,0.5540668287233649,0.4371932005851675
normalized,0.1,5,30,manhattan,Base,4797.047352609926,116078.6715341453,0.40739560967777977,0.23795357776988907
normalized,0.1,5,30,manhattan,Optimal without Warm Start,18432.59674295823,120266.56103701761,0.11087940020044,0.06641851194838326
normalized,0.1,5,30,manhattan,Optimal with Warm Start,4579.601443275452,115849.58926638353,0.4227061036460741,0.2731458371954944
normalized,0.1,5,30,euclidean,Base,841.5783880665183,55426.897929921935,0.40739560967777977,0.23795357776988907
normalized,0.1,5,30,euclidean,Optimal without Warm Start,1763.3357439530764,53603.922124761295,0.45883283267115277,0.3805509823934498
normalized,0.1,5,30,euclidean,Optimal with Warm Start,840.784928169306,55180.98081643936,0.423787738760925,0.28111387823833034
normalized,0.1,5,90,manhattan,Base,4797.047352609926,116078.6715341453,0.40739560967777977,0.23795357776988907
normalized,0.1,5,90,manhattan,Optimal without Warm Start,4693.359632532763,119069.84318851362,0.4067452501687874,0.21197937826785962
normalized,0.1,5,90,manhattan,Optimal with Warm Start,4424.65776544588,115995.15355664256,0.42214006759232026,0.25558684420135397
normalized,0.1,5,90,euclidean,Base,841.5783880665183,55426.897929921935,0.40739560967777977,0.23795357776988907
normalized,0.1,5,90,euclidean,Optimal without Warm Start,1207.8130107677373,53851.931977217086,0.3696267396458109,0.30802998277172705
normalized,0.1,5,90,euclidean,Optimal with Warm Start,840.784928169306,55180.98081643936,0.423787738760925,0.28111387823833034
normalized,0.1,5,180,manhattan,Base,4797.047352609926,116078.6715341453,0.40739560967777977,0.23795357776988907
normalized,0.1,5,180,manhattan,Optimal without Warm Start,4419.650552136987,114578.44755782811,0.41033725686542455,0.21998714982297335
normalized,0.1,5,180,manhattan,Optimal with Warm Start,4439.1616364091105,115735.24253387249,0.42243837043607396,0.25050212640296915
normalized,0.1,5,180,euclidean,Base,841.5783880665183,55426.897929921935,0.40739560967777977,0.23795357776988907
