DatasetName,proportion,k,time_limit,distance,case,WCSS,WCSS_RAW,Silhouette,Silhouette_RAW
normalized,0.1,3,30,manhattan,Base,120.1674151,13818.71571,0.664333544,0.70109233
normalized,0.1,3,30,manhattan,Optimal without Warm Start,92.48885803,13012.77061,0.75823624,0.856084216
normalized,0.1,3,30,manhattan,Optimal with Warm Start,92.48885803,13093.4199,0.75823624,0.856084216
normalized,0.1,3,30,euclidean,Base,23.57563118,5942.676737,0.664333544,0.70109233
normalized,0.1,3,30,euclidean,Optimal without Warm Start,20.89923786,5898.397651,0.7435817,0.607288396
normalized,0.1,3,30,euclidean,Optimal with Warm Start,20.89923786,5898.397651,0.418716019,0.26803185
normalized,0.1,3,90,manhattan,Base,120.1674151,13818.71571,0.664333544,0.70109233
normalized,0.1,3,90,manhattan,Optimal without Warm Start,92.48885803,13012.77061,0.75823624,0.856084216
normalized,0.1,3,90,manhattan,Optimal with Warm Start,92.48885803,13093.4199,0.75823624,0.856084216
normalized,0.1,3,90,euclidean,Base,23.57563118,5942.676737,0.664333544,0.70109233
normalized,0.1,3,90,euclidean,Optimal without Warm Start,20.89923786,5898.397651,0.7435817,0.607288396
normalized,0.1,3,90,euclidean,Optimal with Warm Start,20.89923786,5898.397651,0.418716019,0.26803185
normalized,0.1,3,180,manhattan,Base,120.1674151,13818.71571,0.664333544,0.70109233
normalized,0.1,3,180,manhattan,Optimal without Warm Start,92.48885803,13012.77061,0.75823624,0.856084216
normalized,0.1,3,180,manhattan,Optimal with Warm Start,92.48885803,13093.4199,0.75823624,0.856084216
normalized,0.1,3,180,euclidean,Base,23.57563118,5942.676737,0.664333544,0.70109233
normalized,0.1,3,180,euclidean,Optimal without Warm Start,20.89923786,5898.397651,0.7435817,0.607288396
normalized,0.1,3,180,euclidean,Optimal with Warm Start,20.89923786,5898.397651,0.418716019,0.26803185
normalized,0.1,4,30,manhattan,Base,110.6681833,13884.50137,0.678244199,0.698863319
normalized,0.1,4,30,manhattan,Optimal without Warm Start,67.60293942,12820.92628,0.86511869,0.817980818
normalized,0.1,4,30,manhattan,Optimal with Warm Start,67.60293942,13019.64718,0.86511869,0.817980818
normalized,0.1,4,30,euclidean,Base,21.16565759,5938.511518,0.678244199,0.698863319
normalized,0.1,4,30,euclidean,Optimal without Warm Start,16.18014398,5794.446638,0.481808568,0.305577158
normalized,0.1,4,30,euclidean,Optimal with Warm Start,16.18014398,5794.446638,0.725987713,0.589564647
normalized,0.1,4,90,manhattan,Base,110.6681833,13884.50137,0.678244199,0.698863319
normalized,0.1,4,90,manhattan,Optimal without Warm Start,67.60293942,12820.92628,0.86511869,0.817980818
normalized,0.1,4,90,manhattan,Optimal with Warm Start,67.60293942,13019.64718,0.86511869,0.817980818
normalized,0.1,4,90,euclidean,Base,21.16565759,5938.511518,0.678244199,0.698863319
normalized,0.1,4,90,euclidean,Optimal without Warm Start,16.18014398,5794.446638,0.481808568,0.305577158
normalized,0.1,4,90,euclidean,Optimal with Warm Start,16.18014398,5794.446638,0.725987713,0.589564647
normalized,0.1,4,180,manhattan,Base,110.6681833,13884.50137,0.678244199,0.698863319
normalized,0.1,4,180,manhattan,Optimal without Warm Start,67.60293942,12820.92628,0.86511869,0.817980818
normalized,0.1,4,180,manhattan,Optimal with Warm Start,67.60293942,13019.64718,0.86511869,0.817980818
normalized,0.1,4,180,euclidean,Base,21.16565759,5938.511518,0.678244199,0.698863319
normalized,0.1,4,180,euclidean,Optimal without Warm Start,16.18014398,5794.446638,0.481808568,0.305577158
normalized,0.1,4,180,euclidean,Optimal with Warm Start,16.18014398,5794.446638,0.725987713,0.589564647
normalized,0.1,5,30,manhattan,Base,75.04122359,13305.57679,0.666443263,0.665204484
normalized,0.1,5,30,manhattan,Optimal without Warm Start,43.94305508,12527.06363,0.863221553,0.811192077
normalized,0.1,5,30,manhattan,Optimal with Warm Start,43.94305508,12527.06363,0.863221553,0.811192077
normalized,0.1,5,30,euclidean,Base,15.59849342,5819.107494,0.666443263,0.665204484
normalized,0.1,5,30,euclidean,Optimal without Warm Start,11.47786877,5751.771174,0.692025488,0.435712538
normalized,0.1,5,30,euclidean,Optimal with Warm Start,11.47786877,5751.771174,0.763487746,0.580981619
normalized,0.1,5,90,manhattan,Base,75.04122359,13305.57679,0.666443263,0.665204484
normalized,0.1,5,90,manhattan,Optimal without Warm Start,43.94305508,12527.06363,0.863221553,0.811192077
normalized,0.1,5,90,manhattan,Optimal with Warm Start,43.94305508,12527.06363,0.863221553,0.811192077
normalized,0.1,5,90,euclidean,Base,15.59849342,5819.107494,0.666443263,0.665204484
normalized,0.1,5,90,euclidean,Optimal without Warm Start,11.47786877,5751.771174,0.692025488,0.435712538
normalized,0.1,5,90,euclidean,Optimal with Warm Start,11.47786877,5751.771174,0.763487746,0.580981619
normalized,0.1,5,180,manhattan,Base,75.04122359,13305.57679,0.666443263,0.665204484
normalized,0.1,5,180,manhattan,Optimal without Warm Start,43.94305508,12527.06363,0.863221553,0.811192077
normalized,0.1,5,180,manhattan,Optimal with Warm Start,43.94305508,12527.06363,0.863221553,0.811192077
normalized,0.1,5,180,euclidean,Base,15.59849342,5819.107494,0.666443263,0.665204484
normalized,0.1,5,180,euclidean,Optimal without Warm Start,11.47786877,5751.771174,0.692025488,0.435712538
normalized,0.1,5,180,euclidean,Optimal with Warm Start,11.47786877,5751.771174,0.763487746,0.580981619
normalized,0.25,3,30,manhattan,Base,424.6069509,31802.97274,0.346682992,0.264704524
normalized,0.25,3,30,manhattan,Optimal without Warm Start,338.80107,33111.83821,0.569085521,0.497403136
normalized,0.25,3,30,manhattan,Optimal with Warm Start,359.7517285,33492.29105,0.548812366,0.617581803
normalized,0.25,3,30,euclidean,Base,87.19452568,14284.57781,0.346682992,0.264704524
normalized,0.25,3,30,euclidean,Optimal without Warm Start,80.04776587,14724.29503,0.561989324,0.551019723
normalized,0.25,3,30,euclidean,Optimal with Warm Start,78.80353456,14998.46023,0.376428921,0.188223495
normalized,0.25,3,90,manhattan,Base,424.6069509,31802.97274,0.346682992,0.264704524
normalized,0.25,3,90,manhattan,Optimal without Warm Start,338.80107,33111.83821,0.569085521,0.497403136
normalized,0.25,3,90,manhattan,Optimal with Warm Start,338.80107,33111.83821,0.36530651,0.319954107
normalized,0.25,3,90,euclidean,Base,87.19452568,14284.57781,0.346682992,0.264704524
normalized,0.25,3,90,euclidean,Optimal without Warm Start,80.04776587,14724.29503,0.561989324,0.551019723
normalized,0.25,3,90,euclidean,Optimal with Warm Start,78.80353456,14998.46023,0.376428921,0.188223495
normalized,0.25,3,180,manhattan,Base,424.6069509,31802.97274,0.346682992,0.264704524
normalized,0.25,3,180,manhattan,Optimal without Warm Start,338.80107,33111.83821,0.569085521,0.497403136
normalized,0.25,3,180,manhattan,Optimal with Warm Start,338.80107,33111.83821,0.36530651,0.319954107
normalized,0.25,3,180,euclidean,Base,87.19452568,14284.57781,0.346682992,0.264704524
normalized,0.25,3,180,euclidean,Optimal without Warm Start,78.80353456,14998.46023,0.376428921,0.188223495
normalized,0.25,3,180,euclidean,Optimal with Warm Start,78.80353456,14998.46023,0.376428921,0.188223495
normalized,0.25,4,30,manhattan,Base,400.8603986,31272.8257,0.315446775,0.23216295
normalized,0.25,4,30,manhattan,Optimal without Warm Start,301.2522821,32118.87231,0.425023927,0.336014218
normalized,0.25,4,30,manhattan,Optimal with Warm Start,293.2077613,31944.33936,0.522835328,0.47647636
